A1_L,A1_R,A2_L,A2_R,PCG_L
-0.4398,-0.6748,-0.0126,-0.2989,0.0373
0.1258,-0.2688,0.3258,0.3833,0.7093
0.2896,0.1657,0.2352,0.5390,1.6997
0.0369,-0.0968,0.0238,0.0710,1.4354
-0.3534,-0.3903,-0.0303,-0.1590,0.9854
0.4560,-0.1026,0.4634,0.6572,0.7263
-0.7966,-1.1251,-0.9160,-0.4163,-0.4892
-0.7394,-0.9348,-0.5866,-0.8509,-0.7821
-0.8956,-0.5090,-0.0077,-0.2637,-1.2171
-0.7957,-0.2522,-0.3436,-0.5856,0.2815
-0.1513,0.2758,0.1211,0.0262,-0.4859
-1.2543,-0.7466,-0.6036,-0.2255,0.0055
-1.9430,-1.4309,-1.6259,-0.9428,-0.6842
-1.5650,-1.4100,-1.3987,-0.9412,-1.0598
-1.1808,-1.3442,-1.0815,-1.1629,-1.8159
-1.2725,-1.6446,-1.2896,-1.5440,-1.6948
-0.9898,-1.3627,-0.3397,-1.0163,-1.7437
-0.6590,-0.6867,0.0498,-0.1788,-0.9062
-0.3874,-0.5342,0.1121,-0.1812,-0.5170
-0.3982,-0.9090,0.0946,-0.4827,-0.9606
-0.5829,-0.4667,0.1798,-0.2189,-0.3906
-0.6430,-0.3403,-0.0685,-0.3204,-0.2262
-0.0723,0.0864,-0.5696,-0.7231,-0.9430
-0.0778,0.2589,-0.6320,-0.7719,-0.6833
0.0409,0.3685,-0.2768,-0.6578,-0.0648
0.0483,0.1315,-0.4442,-0.4894,0.0159
0.1583,0.3253,-0.1079,-0.5401,0.2453
0.4035,0.4405,0.0510,-0.2492,-0.1145
0.2265,0.2736,0.0367,-0.4409,-0.1200
0.6143,0.4867,-0.4419,-0.4602,-0.4842
-0.3645,-0.0266,-0.6506,-0.4884,-0.5296
0.5375,-0.1391,-0.2583,-0.4263,-0.4037
0.8187,0.4051,0.1007,0.2556,-0.5444
1.0656,0.6824,0.5383,0.3613,0.2403
0.9628,0.7710,0.7221,0.5068,0.7082
1.0420,0.9887,1.2697,0.7437,0.6232
1.0319,0.5137,0.8146,0.3105,0.7058
0.3855,-0.0146,0.3191,0.0817,0.1940
0.2859,0.0621,0.0232,-0.0692,-0.1867
0.3856,0.1614,0.1823,0.0701,-0.5315
0.5485,0.5827,0.2340,0.2608,0.3337
0.7791,0.6465,0.3274,0.5004,0.4416
0.7675,0.6803,0.3741,0.7393,0.8321
0.7692,0.5049,-0.0399,-0.0186,0.7197
0.3206,0.3171,-0.0616,-0.1536,0.6072
0.2130,0.2999,-0.2624,-0.2358,0.8983
-0.2718,0.0695,-1.4369,-0.9554,1.2037
-0.3790,-0.0755,-1.1764,-1.2201,1.2568
-0.0329,0.4351,-0.2885,-0.8461,0.9067
0.5225,0.6939,0.5304,-0.3163,0.7362
0.4092,0.7156,0.7756,0.3713,0.6505
0.2626,0.2434,0.6819,0.2414,0.5836
0.2922,0.3722,0.7592,0.1838,0.5946
-0.0448,0.1873,0.4425,0.4189,0.2977
0.9595,0.3154,0.7302,0.4174,0.1401
1.3111,0.6129,0.3667,1.0853,0.0797
1.1585,0.7720,0.7399,1.0585,-0.2975
0.8847,0.4057,0.5027,1.0623,0.2656
0.8430,0.0140,0.6838,0.5750,0.3107
0.1540,-0.0474,0.1474,0.3821,0.2459
0.3330,0.7334,0.4906,0.4575,0.2148
0.6073,0.6507,0.5971,0.6545,0.4202
-0.3942,-0.1511,-0.0773,-0.3607,-0.2605
-0.1372,0.0163,-0.7170,-0.5286,-0.3252
0.9429,0.8123,0.3112,0.2067,-0.6747
1.0884,0.9705,0.1800,0.2332,0.0552
0.1326,-0.6671,-0.6505,-0.5327,-0.4376
0.0917,-0.4044,-0.3198,-0.1791,-0.4158
0.0138,0.1382,0.0418,-0.0529,-0.7738
0.5717,0.8307,0.3549,0.3398,0.1437
0.3092,0.6005,0.0183,0.1711,0.2266
1.0081,0.4971,0.4664,0.2651,-0.4671
0.6140,0.1772,0.4002,-0.1126,-0.5069
0.6026,0.5304,0.4517,0.3690,-0.2541
-0.0449,0.2378,0.7518,0.2431,-0.5171
-0.0995,0.3602,0.7532,0.3994,0.4729
0.0908,0.4855,0.8869,0.4287,0.3810
0.0259,0.4616,0.4700,0.5495,0.7922
0.0923,0.5426,0.4755,0.4349,0.5797
-0.2190,0.1489,0.0025,-0.0014,0.5122
-1.5578,-1.2739,-1.2413,-0.8197,0.0810
-1.5859,-1.7464,-1.2713,-0.6615,-0.8507
-0.4149,-0.9320,0.1656,0.0607,0.0427
-0.4058,-0.7061,-0.0946,0.1167,-0.0245
-1.0737,-1.1467,-0.8113,-0.0962,-0.5020
-1.0668,-1.0537,-0.2885,0.0575,0.3289
-0.8866,-0.6833,0.4471,0.3126,0.4682
-0.1686,-0.3270,0.9429,0.8752,0.4999
-0.0228,-0.2937,0.8727,0.5296,1.2448
0.3338,-0.1848,0.7120,0.8840,0.6805
0.8799,0.1755,0.5672,0.5652,-0.8388
0.3185,0.1173,-0.3256,0.3635,-1.3758
-0.6015,-0.1970,-0.9651,-0.4144,-0.8945
-0.7435,0.0250,-0.9567,-0.6625,-0.8282
-1.2872,-0.3802,-1.0527,-1.2337,-0.4823
-1.3470,-0.5078,-1.2591,-1.5194,-0.0471
-0.0815,-0.2324,-0.5432,-1.1808,-0.4833
-0.3021,-0.0924,-0.5704,-0.7374,-0.5237
