IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.5761,-1.1749,-0.3166,0.1350,-0.4494,-0.2158,1.1549,0.5478,-0.7684,-0.5895
-0.5804,-1.0377,-0.2454,0.2078,-0.5988,-0.6249,0.9245,0.2426,-0.1759,-0.2108
-0.4117,-0.7669,0.4281,0.8367,-0.6025,-0.6709,0.2423,0.0344,-0.2097,-0.2748
-0.3547,-0.4011,0.5964,0.6736,-0.3831,-0.6525,0.4548,-0.3281,-0.1425,-0.2927
0.1743,-0.2450,1.1225,1.1556,0.2257,0.2583,0.4028,0.3936,0.0181,0.0961
0.4738,0.1836,0.4193,0.6961,0.4342,0.5025,0.6521,1.5340,0.2741,0.3091
0.4175,0.2889,0.0520,0.5393,0.7804,1.2574,1.4319,0.7282,-0.0340,0.3157
0.3698,0.5209,-0.6305,0.2521,0.2846,1.0991,0.8363,0.3928,-0.1200,0.1773
-0.0020,-0.5595,-0.6007,0.2189,0.0939,1.5433,0.0881,-0.0897,-0.8807,-0.5274
-0.2796,-0.4663,-0.1111,0.4874,-0.4415,0.5904,-0.1236,0.6224,-0.3520,-0.0320
-0.7693,-0.4799,0.0287,-0.0176,-0.2598,0.0059,0.1359,-0.4858,-0.4505,-0.4950
-0.4727,-0.1624,0.5237,0.4479,-0.5810,-0.9354,-1.0812,-1.0849,-0.2809,-0.4932
-0.2212,0.0533,0.6458,0.1182,-0.4501,-0.9977,-0.9556,-1.6251,-0.4954,-0.9013
-0.1858,0.2442,0.6686,0.5555,0.1685,-0.1641,-0.6531,-1.2338,-0.6502,-1.0234
0.2811,0.6844,-0.0882,0.1380,0.4205,-0.2046,0.4296,-0.7601,0.0376,-0.3946
-0.1802,0.0071,-0.0639,0.7188,0.2710,-0.0288,-0.0340,-0.5238,-0.3721,-0.2979
-0.4216,-0.1483,-0.5596,-0.4734,-0.3312,-0.7757,-0.2200,0.1164,-0.1656,-0.0540
-1.1029,-1.5115,-0.4852,-0.0304,-0.7214,-0.9551,0.1198,-0.5517,-0.7276,-0.6560
-0.5216,-0.7342,-0.4704,-0.6915,-0.3218,-0.8820,-0.0114,-0.2953,-0.0773,-0.0047
-0.8407,-1.3211,-0.4670,-0.1748,-0.3433,-0.8069,1.1848,0.2143,-0.8129,-0.5573
-0.5993,-0.6788,-1.3314,-0.6972,-0.5552,-1.1950,-0.2146,-0.6387,-0.3591,-0.4747
-0.5933,-0.6042,-0.8271,-0.4682,-0.0196,-0.3721,-0.5118,-0.1531,-0.2310,-0.2674
0.6032,0.8223,-0.9387,-0.2800,0.4834,0.4398,0.2117,-0.1778,0.7386,0.7555
1.5107,1.1658,0.2376,0.9621,1.2730,1.3739,-0.2516,0.3566,1.0815,1.1310
1.9182,1.7270,0.0276,0.3174,1.2586,1.4745,0.6478,0.4007,1.3955,1.3342
1.3250,0.9601,-0.0141,0.6040,0.6643,1.3039,0.7867,0.1814,0.9013,1.0998
