IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.1017,-0.4535,-0.6322,-0.4104,-0.7964,0.4862,-0.8787,-0.3473,-0.2505,-0.2125
0.3516,-0.4123,-0.3113,-0.0863,-1.0605,0.4079,-1.0207,0.2800,-0.2802,0.1123
0.1458,-0.2378,-0.1410,-0.0718,-0.3390,0.6216,-1.0650,-0.3626,-0.1529,0.3400
0.6872,0.0429,0.0975,0.4626,-0.1754,0.7534,-0.7007,0.3368,-0.1088,0.1682
0.9250,0.3092,0.2426,0.3534,0.3957,1.2896,-0.9431,0.1025,0.0199,0.1365
1.3351,0.3768,0.6714,0.7334,0.0063,0.6413,-0.1256,-0.3991,0.4458,0.3343
0.4871,0.4356,0.7669,0.5088,0.8534,0.7908,0.8036,-0.2438,0.1568,-0.1583
0.2202,0.2787,0.4771,-0.2457,0.5587,0.2576,-0.1153,-0.5959,0.3982,0.2970
0.1442,0.4241,0.2228,0.6092,-0.2310,0.2250,-0.7075,0.0390,0.3834,0.3801
-0.1266,-0.0210,0.7275,0.5675,-0.1191,0.1663,-1.4977,-0.0521,0.4871,0.6987
0.7202,0.7985,0.9755,0.7515,-0.4675,0.2717,-0.0290,0.0130,0.7611,1.0102
0.4777,0.7442,0.2064,0.0009,0.4372,0.5213,0.3662,0.6855,0.7791,0.8933
0.2921,0.7781,-0.1757,-0.7305,-0.3669,0.1238,-1.2717,-1.0619,0.6968,0.5921
-0.4180,0.0924,-0.6982,-0.9306,0.3426,0.0265,-1.7696,-1.2333,-0.4148,-0.5230
0.4709,-0.0872,0.3917,0.0862,-0.1722,-0.5835,-0.7974,-0.0488,-0.0385,0.0637
0.7378,-0.2865,0.9967,0.8518,0.3211,0.1660,0.7044,0.9847,-0.2176,-0.2298
0.8192,-0.5550,1.3124,1.5263,-0.1151,0.3886,-0.3934,0.8123,-0.0318,0.1014
1.0377,-0.6136,1.2341,1.7197,-0.6232,0.9275,-1.1716,1.4391,0.2017,0.5287
1.1393,-0.4604,1.1116,1.5768,-0.7906,0.9309,0.3892,1.0766,0.5241,0.7373
1.2053,-0.3690,1.3035,1.4773,-0.1421,0.5736,1.5711,1.6565,0.3313,0.3910
0.5292,-0.4414,0.5988,0.7806,0.2940,0.5063,0.6398,0.4015,0.3630,0.6636
0.7771,0.0137,0.3968,0.6252,-0.2362,-0.0032,0.0749,0.9230,0.8491,1.0784
0.4265,-0.4218,0.7771,1.3148,0.1214,0.4036,-0.7677,0.6317,0.7779,0.8683
0.8903,-0.7612,1.1058,1.6617,-0.2860,-0.1600,-1.2421,0.7465,1.1503,1.2243
0.7942,-0.2546,0.9989,1.4337,0.6303,0.4165,0.3226,0.5046,0.7309,0.7309
0.5475,0.0808,1.4360,0.9433,0.6620,0.2661,-0.8778,0.2457,1.0007,0.8914
-0.0076,0.4700,0.6720,-0.0868,0.6877,-0.0609,-0.9572,-0.6144,0.5784,0.1237
0.4205,-0.0321,0.1953,-0.2006,0.0364,-0.5119,-1.4958,-1.1961,0.0647,0.0158
0.2745,-0.3428,-0.2810,0.0497,-0.1194,-0.6146,-0.7756,0.0398,-0.6108,-0.3318
0.1797,0.0415,0.0143,-0.3284,-0.4747,-1.0987,0.3641,-0.4700,-0.2324,-0.2016
-1.1147,-0.4089,-0.9051,-1.6325,-0.4302,-1.2562,-0.2495,-1.0234,-0.3991,-0.6624
-0.9094,0.1778,-0.2194,-0.8070,0.1374,-1.2497,0.3095,-0.8931,-0.0686,-0.3073
-0.8313,0.3778,-0.4509,-0.9854,0.0817,-0.7374,-0.9020,-1.0387,-0.2103,-0.3525
-0.6181,0.5145,-0.8737,-1.0743,0.5557,-0.5536,-1.8700,-2.1169,-1.4309,-1.8256
-0.7258,0.0877,-1.3371,-1.8848,-0.0070,-0.7156,-0.7225,-1.1116,-2.0141,-2.2298
-0.2713,0.4779,-0.8499,-1.0713,0.1598,-0.3049,0.0049,-0.8138,-1.2018,-1.4161
-0.5039,-0.1018,-0.8271,-1.3191,-0.0497,-0.6985,-1.2001,-1.3636,-0.5222,-0.4010
-0.1563,-0.1404,-1.0932,-1.1175,-0.0401,-0.7822,-1.5790,-1.2725,-0.2170,-0.0576
-0.2184,-0.5560,-1.1016,-0.8677,-0.3744,-0.4040,-1.9373,-1.7510,-0.0643,0.0662
-0.1989,-0.6053,-0.4737,-0.5711,-0.3595,-0.3468,-1.0551,-0.3702,-0.7100,-0.8356
-0.3450,-0.5004,-0.6182,-0.5605,-0.3341,-0.1076,-0.0962,-0.6982,-0.9172,-0.6284
0.1556,-0.1685,-0.3908,-0.2827,-0.3279,0.1355,0.0766,-0.6377,-0.4288,-0.2939
0.0887,0.2175,-0.2019,-0.0988,0.3445,0.1748,0.3944,-0.9972,0.2299,0.2371
-0.6114,0.8684,-0.4084,-1.4829,0.6755,-0.8808,-0.2516,-0.7264,0.0845,0.0399
-0.3004,0.9423,-1.0548,-1.5135,0.8581,-0.6571,-1.9327,-0.8899,0.0907,-0.3786
0.0458,1.1244,-1.1423,-1.3006,0.5148,-0.2515,-1.0835,-0.7359,-0.1525,-0.5957
0.1087,1.2435,-0.9913,-0.9602,-0.1449,-0.4926,-1.0893,-0.4632,-0.6028,-0.9836
-0.5236,-0.2006,-1.5960,-1.4141,-0.9586,-1.1596,-0.0765,-1.1419,-0.4975,-0.1518
-0.5529,-0.9311,-1.5467,-1.1735,-1.5931,-1.1281,0.6424,-1.6071,-0.1400,0.2256
-1.1145,-1.0499,-1.7130,-1.5734,-1.3314,-1.7236,-0.4856,-1.6554,0.1951,0.5800
-1.0849,-0.7641,-1.3936,-1.0969,-1.1153,-1.5149,0.4604,-1.3631,-0.0511,0.0982
-0.4837,-0.0647,-0.5552,-0.4194,-0.6395,-1.3257,0.7488,-0.9219,0.6397,0.7568
0.2665,-0.1873,0.3786,0.3594,-0.6377,-1.3878,0.3085,-0.2860,0.8230,0.7234
1.0479,0.5648,0.4999,0.9341,0.0507,-0.3220,-0.0635,0.1988,1.3368,1.3902
1.4786,0.6422,-0.1103,0.6100,-0.3903,-0.1732,-0.8182,-0.1531,1.5375,1.8483
1.5550,0.2767,0.4688,1.0672,-0.3337,0.2036,0.4595,0.7195,0.9881,1.5412
1.6266,0.1226,0.5074,1.1612,-0.1902,0.8224,1.9052,0.1983,1.1809,1.9987
1.3716,0.6657,0.6584,1.1470,-0.0242,0.7659,-0.5289,-0.0539,1.7370,2.5531
0.6062,1.0560,0.6330,0.5709,0.5126,0.8264,2.1371,1.6297,1.3533,1.3511
-0.2068,0.7863,0.6095,0.4992,0.7233,0.6928,1.7972,1.5872,0.8983,0.6448
0.0998,0.3707,0.7252,0.7947,-0.1400,0.2235,0.9541,0.3378,0.5427,0.5613
0.5461,0.4749,0.4790,0.7756,0.0381,0.0769,2.1700,0.2901,0.3029,0.3735
0.4629,0.5780,0.1397,0.1079,0.2278,0.5030,2.1279,0.0106,0.6134,1.0533
0.7160,0.4629,0.5876,0.4691,0.5305,0.7665,2.2812,1.5295,0.4364,0.5380
1.1505,1.1226,1.2452,1.3339,0.6115,1.1073,2.1909,1.2194,1.0180,1.2000
0.9747,1.0749,1.5077,1.2498,1.0105,1.2039,1.0501,1.4826,1.1715,1.2038
1.6774,1.5413,1.6545,1.7043,0.6316,1.1501,0.8601,1.3014,1.7303,2.0132
1.2412,0.9323,1.5246,1.5909,0.6790,1.8312,1.1928,1.3616,1.8009,1.9217
1.3128,0.5290,0.9411,1.0578,0.3803,1.3308,1.4115,1.4357,1.7185,1.7087
1.4558,0.9738,0.6775,1.3299,0.3840,1.7850,1.0733,1.9805,1.1764,1.4007
0.7686,-0.2271,0.3203,0.7671,0.3247,1.6337,1.7350,1.0206,0.3021,0.6559
0.0849,-0.4754,-0.2699,0.1315,-0.3503,0.1753,0.6735,0.4568,-0.4065,-0.2706
-0.8284,-1.0195,-0.6964,-0.4456,0.3011,-0.1413,-0.4034,-0.4241,-0.9550,-1.0797
-0.3420,-0.7169,-0.3500,0.1049,0.0981,-0.2829,0.0587,-0.6740,-1.1240,-1.3185
-1.0149,-0.7543,-0.2705,-0.0851,0.5811,-0.0277,0.5422,0.4826,-1.3462,-1.8267
-0.7724,-0.7146,-0.6264,-0.7186,0.4087,-0.0320,-0.1545,0.2311,-0.8679,-1.2692
-0.4830,-0.4648,-0.2875,-0.3101,0.6556,0.3159,-0.5488,0.4456,-1.1000,-1.3182
-1.0660,-0.8006,-0.6888,-1.1284,1.0884,0.2998,-0.0159,0.1566,-1.0643,-1.4853
-0.7552,-0.5295,-1.4229,-1.5833,0.7141,0.0845,0.1498,-0.6346,-1.3351,-1.7230
-0.9582,-0.7045,-1.3336,-1.2374,0.1966,0.1296,-1.1513,-0.4777,-1.2031,-1.4071
-1.3015,-0.5925,-1.0109,-1.2400,-0.1009,-0.4545,-0.2461,0.5452,-1.1977,-1.4557
-1.1807,0.4248,-0.8022,-1.3755,0.3028,-0.7667,1.2518,0.2130,-0.6648,-0.7360
-1.1636,0.4735,-1.2106,-1.0115,0.7255,-0.0982,0.2321,-0.1051,-0.6079,-0.6522
-0.5054,0.3065,-0.4009,-0.4083,0.6556,-0.2059,-0.4808,0.2660,-0.3417,-0.5944
-0.8775,-0.9024,-0.5420,-0.2408,0.7884,0.0826,-1.1938,0.2473,-0.5823,-0.8568
-0.9148,-0.5858,-0.2431,-0.7915,0.2175,-0.6794,-1.1602,0.0600,-0.6606,-0.7246
-1.0478,-0.0829,-0.5537,-1.0569,0.8027,-0.0702,-1.5634,-0.5309,-0.8343,-1.1769
-0.9889,-0.0940,-1.4814,-1.5774,1.2644,0.6641,-1.3103,-1.0698,-0.8370,-0.9553
0.0602,-0.0627,-1.0885,-1.1117,0.7744,0.8513,0.4598,-0.3809,-0.5949,-0.4228
-0.1648,-0.2032,-0.2957,0.0295,0.4880,0.3563,0.0122,0.3167,-0.1886,0.0801
-0.3161,-0.1862,0.1739,-0.1193,0.4691,0.1991,-1.1582,0.6755,-0.1950,-0.1762
0.2685,-0.3292,0.5977,0.2742,0.6094,0.6494,-0.6402,0.3557,-0.1384,-0.2713
0.1310,-0.8025,-0.0527,-0.0810,0.6964,0.9899,-0.6461,-0.0208,-0.2737,-0.3915
0.4722,-0.4231,0.5160,0.8006,0.5064,0.8377,0.3866,0.6764,0.2502,0.3693
0.4505,0.7275,0.9924,1.1998,0.9431,1.0346,0.1216,0.9454,0.6681,0.6556
-0.4516,0.6041,0.8190,0.7243,0.8209,0.4804,-0.0193,1.0772,0.4905,0.5818
0.0781,0.5836,1.0308,0.8901,0.4832,0.3568,0.4809,1.5142,0.1826,0.2965
0.0589,-0.0195,1.1288,1.4788,0.5426,0.6522,0.5842,1.3094,-0.0331,0.1878
0.3091,-0.2616,1.3960,1.5951,0.1320,0.6027,0.3928,1.1049,0.1326,0.2689
0.4680,-0.0032,1.2096,1.3580,0.3534,0.3651,-0.2636,0.3667,-0.0398,-0.0920
0.2078,-0.0437,0.9367,0.8787,0.4549,0.1799,0.2152,0.4980,0.3770,0.5678
0.6771,0.1487,0.9722,1.0352,0.6160,0.1368,-0.4682,1.3406,0.7613,0.7722
0.6009,-0.1113,0.7196,1.0455,0.7658,0.9566,0.4800,0.3346,0.8130,0.7257
0.2962,-0.1587,0.4397,0.5703,0.6950,0.8840,0.9390,0.3010,0.1337,0.0525
0.6571,0.6388,0.6177,0.6206,0.9490,1.4260,1.0300,0.6944,0.2124,0.2010
-0.0520,0.5307,-0.1349,0.0112,1.2762,0.7597,-0.4520,0.5220,-0.3038,-0.2150
0.3218,0.6362,-0.0280,0.0059,0.8410,0.1250,0.2825,0.5181,-0.1611,-0.0267
-0.2983,-0.6166,-0.5731,-0.4561,0.5002,0.4241,-0.5693,-0.4897,-0.2064,-0.0289
0.1354,-0.3700,-0.2989,0.1100,-0.0520,0.2121,0.1992,-0.1864,0.1883,0.3562
0.0356,-0.0074,-0.1183,0.2049,0.3565,0.4214,-0.2496,-0.3682,-0.1380,-0.4055
-0.2814,-0.6326,0.2626,0.0087,-0.3036,0.3233,0.5027,-0.3926,-0.4371,-1.1770
-0.3027,-0.6635,-0.0434,-0.2225,-0.3677,0.1151,-0.0267,-0.5353,-0.4542,-0.8687
-0.1478,-0.5457,-0.1212,-0.0559,-0.5818,-0.0590,0.2374,-0.2414,-0.0057,-0.1008
0.2594,-0.7355,0.6696,1.1668,-0.8090,-0.1529,1.2427,0.4247,0.2978,-0.0477
-0.8138,-1.7868,-0.0198,0.7478,-0.4607,-0.2677,-0.2942,0.4000,-0.7038,-0.9307
-0.2954,-1.3041,-0.0472,0.6177,-0.8251,-0.2678,0.9343,0.6744,-0.8048,-0.7055
-0.6527,-0.5247,-0.1396,0.0096,-0.5123,0.1155,0.5742,0.5701,-1.0858,-0.8227
-0.7475,0.0643,-0.9582,-1.5616,-0.3748,-0.2065,0.1662,-0.6268,-1.2310,-0.9158
-0.9727,0.0394,-1.1264,-0.8430,0.4563,-0.4688,0.4670,0.2605,-0.9254,-0.8352
-1.2105,-0.3737,-0.5193,-0.2038,-0.1214,-0.6926,1.7750,0.8400,-0.3752,-0.5595
-1.1554,-0.4027,-0.3497,-0.3326,-0.2185,-1.1686,0.4517,-0.0360,-0.6377,-1.1162
-1.5195,-1.0249,-0.7856,-0.7873,0.2549,-0.6774,-0.4966,-1.3178,-0.9508,-1.1554
-0.3110,-0.1297,-0.0153,-0.4496,-0.3171,-0.7342,0.2675,0.0552,-0.4226,-0.4244
0.3721,0.0954,0.1130,0.0786,0.0422,-0.2518,1.5361,0.6850,-0.0972,0.1266
1.0405,0.5366,0.6431,0.8394,0.3936,0.2641,0.5555,1.7069,0.5466,0.6525
0.9221,0.5520,0.1753,0.8163,0.4567,0.6616,0.2755,1.1798,0.5749,0.4254
0.1409,0.1350,0.7533,0.4348,0.2129,0.3615,-0.9928,0.3277,0.6494,0.3488
-0.1632,0.2859,0.6649,0.3737,0.5587,0.4538,-1.6514,0.6694,0.0008,-0.4759
-0.4756,-0.1577,-0.1004,-0.3838,0.3250,-0.2179,-0.6290,0.8328,-0.3137,-0.5082
-0.3275,0.2973,-0.5000,-1.0118,0.3471,-0.6261,0.3858,0.6877,-0.8494,-0.9936
-0.0812,0.2609,-0.5911,-0.4622,0.1536,-0.1174,-0.0888,0.1508,-0.8312,-1.0649
